room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1944,2164,Private room,,Mitte,4,4.5,2,1.0,41.0,1,52.544251,13.397491,2014-05-19 07:34:14.697
3176,3718,Entire home/apt,,Pankow,57,5.0,4,1.0,107.0,2,52.53424,13.418094,2014-05-19 00:01:50.741
6083,11892,Entire home/apt,,Friedrichshain-Kreuzberg,32,5.0,4,,98.0,3,52.503725,13.453809,2014-05-19 08:39:20.351
6883,16149,Entire home/apt,,Friedrichshain-Kreuzberg,98,5.0,2,1.0,121.0,3,52.511713,13.454768,2014-05-19 09:33:10.073
7071,17391,Private room,,Pankow,56,5.0,2,1.0,57.0,2,52.542673,13.415188,2014-05-19 07:44:28.073
10533,36708,Entire home/apt,,Pankow,107,4.5,4,1.0,74.0,3,52.545326,13.426076,2014-05-18 22:12:05.767
11339,42081,Entire home/apt,,Friedrichshain-Kreuzberg,221,5.0,2,,69.0,3,52.49694,13.425048,2014-05-18 23:13:30.774
13870,54283,Entire home/apt,,Pankow,29,5.0,5,2.0,161.0,2,52.538098,13.410343,2014-05-18 22:27:13.518
16644,64696,Entire home/apt,,Friedrichshain-Kreuzberg,21,5.0,4,1.0,104.0,3,52.504784,13.435129,2014-05-18 21:21:26.976
17409,67590,Private room,,Pankow,52,5.0,2,1.0,63.0,2,52.526924,13.417938,2014-05-18 21:16:15.591
17847,2343,Entire home/apt,,Pankow,7,4.5,5,2.0,138.0,2,52.540579,13.411601,2014-05-19 08:20:22.732
17904,68997,Entire home/apt,,Friedrichshain-Kreuzberg,85,5.0,2,,54.0,4,52.495778,13.421945,2014-05-19 09:54:07.427
18467,71127,Entire home/apt,,Tempelhof-Schöneberg,11,4.5,4,1.0,95.0,3,52.491266,13.343068,2014-05-18 22:09:14.931
18736,71913,Entire home/apt,,Charlottenburg-Wilmersdorf,25,5.0,4,1.0,77.0,1,52.506158,13.298608,2014-05-18 22:30:58.696
20858,71331,Entire home/apt,,Pankow,7,4.0,4,2.0,218.0,4,52.536952,13.407615,2014-05-19 06:49:39.234
21686,71127,Entire home/apt,,Tempelhof-Schöneberg,0,,2,1.0,86.0,3,52.488699,13.338998,2014-05-19 08:19:05.312
21689,71127,Entire home/apt,,Tempelhof-Schöneberg,16,5.0,2,1.0,86.0,3,52.497873,13.348793,2014-05-19 08:23:30.757
21690,71127,Entire home/apt,,Tempelhof-Schöneberg,13,4.5,2,1.0,86.0,3,52.493848,13.351157,2014-05-19 08:25:12.817
21691,71127,Entire home/apt,,Charlottenburg-Wilmersdorf,9,4.5,2,1.0,86.0,3,52.49303,13.336152,2014-05-19 08:26:36.943
21869,64696,Entire home/apt,,Friedrichshain-Kreuzberg,36,5.0,4,1.0,74.0,3,52.502733,13.43462,2014-05-19 00:10:00.722
21981,84157,Entire home/apt,,Friedrichshain-Kreuzberg,75,4.5,4,1.0,92.0,1,52.493607,13.429273,2014-05-19 09:23:50.494
22438,86159,Entire home/apt,,Mitte,105,5.0,4,2.0,100.0,1,52.534445,13.388374,2014-05-19 07:54:37.710
22451,86215,Entire home/apt,,Charlottenburg-Wilmersdorf,1,5.0,4,2.0,92.0,7,52.491907,13.32078,2014-05-19 08:14:18.429
22475,86215,Entire home/apt,,Neukölln,6,4.5,2,1.0,54.0,7,52.485474,13.438719,2014-05-19 08:53:13.487
22677,87357,Entire home/apt,,Mitte,36,4.5,6,2.0,123.0,4,52.534348,13.405577,2014-05-19 07:30:56.246
22769,56012,Entire home/apt,,Mitte,130,5.0,4,1.0,61.0,2,52.536135,13.405839,2014-05-19 09:56:01.534
22816,85082,Entire home/apt,,Mitte,5,4.5,4,2.0,100.0,4,52.533602,13.394352,2014-05-18 22:05:21.049
22850,88239,Entire home/apt,,Friedrichshain-Kreuzberg,100,4.5,3,1.0,75.0,3,52.503672,13.434017,2014-05-18 23:00:27.665
22859,88301,Entire home/apt,,Friedrichshain-Kreuzberg,42,5.0,2,1.0,80.0,3,52.505628,13.434291,2014-05-18 23:14:04.672
23071,89597,Entire home/apt,,Mitte,17,4.5,2,1.0,98.0,1,52.510635,13.389218,2014-05-18 22:04:14.053
23162,90253,Entire home/apt,,Friedrichshain-Kreuzberg,21,5.0,4,2.0,100.0,7,52.50192,13.439929,2014-05-19 06:49:41.149
23833,94923,Entire home/apt,,Friedrichshain-Kreuzberg,10,4.5,6,2.0,198.0,3,52.516984,13.458631,2014-05-18 21:54:37.346
23834,94918,Entire home/apt,,Friedrichshain-Kreuzberg,42,4.5,4,1.0,81.0,2,52.489714,13.379748,2014-05-18 21:56:28.981
