room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6933881,14110291.0,Entire home/apt,,Mitte,0,,4.0,2.0,98.0,1.0,52.524303,13.349917,2015-12-02 21:43:53.509462
2726105,10121694.0,Entire home/apt,,Pankow,4,4.5,2.0,1.0,79.0,3.0,52.554415,13.417094,2015-12-02 21:43:48.993255
7608258,4537366.0,Private room,,Charlottenburg-Wilmersdorf,7,5.0,2.0,1.0,28.0,2.0,52.484951,13.334892,2015-12-02 21:43:09.499974
3048721,12523942.0,Private room,,Neukölln,28,4.5,2.0,1.0,55.0,1.0,52.483456,13.43214,2015-12-02 21:42:46.661145
4062014,16937088.0,Shared room,,Neukölln,18,4.5,2.0,1.0,21.0,1.0,52.421572,13.485712,2015-12-02 21:42:39.632731
2629336,1297305.0,Entire home/apt,,Mitte,3,5.0,4.0,2.0,107.0,5.0,52.535758,13.395964,2015-12-02 21:42:34.052868
3572429,17989907.0,Entire home/apt,,Neukölln,83,5.0,4.0,2.0,62.0,2.0,52.476161,13.421129,2015-12-02 21:42:28.632486
3356424,16937088.0,Private room,,Neukölln,2,5.0,2.0,1.0,25.0,2.0,52.423214,13.484711,2015-12-02 21:42:24.229334
6385753,33286924.0,Entire home/apt,,Friedrichshain-Kreuzberg,3,4.5,4.0,1.0,55.0,2.0,52.522841,13.448668,2015-12-02 21:42:09.665256
6977578,9973390.0,Entire home/apt,,Friedrichshain-Kreuzberg,7,4.5,4.0,1.0,119.0,1.0,52.492328,13.388982,2015-12-02 21:42:07.601893
802755,712826.0,Entire home/apt,,Friedrichshain-Kreuzberg,82,4.0,,2.0,62.0,3.0,52.489516,13.38469,2015-12-02 21:41:58.885422
5138650,26534826.0,Private room,,Pankow,7,4.5,2.0,1.0,55.0,2.0,52.543492,13.419218,2015-12-02 21:41:53.165068
5119872,26460155.0,Entire home/apt,,Friedrichshain-Kreuzberg,11,4.5,4.0,2.0,71.0,8.0,52.522785,13.453405,2015-12-02 21:41:35.745589
1099815,2752021.0,Entire home/apt,,Tempelhof-Schöneberg,63,5.0,4.0,2.0,108.0,2.0,52.500377,13.33879,2015-12-02 21:41:28.293650
