room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
55298,261030,Shared room,,Tempelhof-Schöneberg,0,0.0,1,1.0,98.0,,52.498379,13.341816,2017-03-27 03:35:00.441505
6572731,29584583,Shared room,,Tempelhof-Schöneberg,2,0.0,1,1.0,95.0,,52.473894,13.321477,2017-03-27 03:35:00.438662
5967825,4043276,Shared room,,Pankow,10,5.0,3,1.0,89.0,,52.536309,13.410931,2017-03-27 03:35:00.435500
10750289,20250186,Shared room,,Friedrichshain-Kreuzberg,8,4.5,3,1.0,83.0,,52.510024,13.45201,2017-03-27 03:35:00.433342
16278437,93768902,Shared room,,Lichtenberg,0,0.0,1,1.0,98.0,,52.530173,13.461688,2017-03-27 03:35:00.431282
7560330,39631459,Shared room,,Pankow,4,5.0,4,1.0,89.0,,52.541389,13.42094,2017-03-27 03:35:00.429159
8200797,35214802,Shared room,,Friedrichshain-Kreuzberg,0,0.0,2,1.0,89.0,,52.50268,13.419334,2017-03-27 03:35:00.426418
16227384,2810949,Shared room,,Pankow,3,5.0,2,1.0,99.0,,52.543703,13.41255,2017-03-27 03:35:00.423574
17291212,109995917,Shared room,,Mitte,0,0.0,8,1.0,78.0,,52.560777,13.386144,2017-03-27 03:34:58.483093
13445044,26154379,Shared room,,Tempelhof-Schöneberg,0,0.0,2,1.0,67.0,,52.487907,13.369083,2017-03-27 03:34:58.480343
17796119,121600835,Shared room,,Pankow,0,0.0,2,1.0,81.0,,52.571081,13.40899,2017-03-27 03:34:58.478312
551644,2711079,Shared room,,Friedrichshain-Kreuzberg,15,5.0,4,1.0,77.0,,52.491934,13.410419,2017-03-27 03:34:58.475247
8135806,21857190,Shared room,,Charlottenburg-Wilmersdorf,0,0.0,1,1.0,67.0,,52.506546,13.29183,2017-03-27 03:34:58.473222
7447842,39007210,Shared room,,Friedrichshain-Kreuzberg,5,5.0,4,1.0,78.0,,52.517836,13.438466,2017-03-27 03:34:58.470134
6427854,33263166,Shared room,,Friedrichshain-Kreuzberg,10,5.0,2,1.0,69.0,,52.51539,13.454919,2017-03-27 03:34:58.467068
7935870,41848444,Shared room,,Mitte,0,0.0,3,1.0,66.0,,52.524177,13.333871,2017-03-27 03:34:58.464383
7466821,39102959,Shared room,,Pankow,0,0.0,1,1.0,78.0,,52.553217,13.441264,2017-03-27 03:34:58.461223
16610057,99254090,Shared room,,Pankow,0,0.0,2,1.0,72.0,,52.534989,13.425347,2017-03-27 03:34:58.458904
5246999,7201404,Shared room,,Friedrichshain-Kreuzberg,32,5.0,2,1.0,66.0,,52.485371,13.406678,2017-03-27 03:34:58.456728
4718249,7908994,Shared room,,Mitte,0,0.0,3,1.0,67.0,,52.53572,13.396983,2017-03-27 03:34:58.453247
11275525,26745065,Shared room,,Mitte,3,4.0,2,1.0,60.0,,52.527208,13.341726,2017-03-27 03:34:56.860066
11143679,57716512,Shared room,,Spandau,0,0.0,2,1.0,44.0,,52.52746,13.136639,2017-03-27 03:34:56.857184
12801515,28959667,Shared room,,Pankow,0,0.0,4,1.0,46.0,,52.550497,13.408193,2017-03-27 03:34:56.854286
13304880,75158426,Shared room,,Mitte,0,0.0,2,1.0,43.0,,52.552301,13.367787,2017-03-27 03:34:56.851771
13384672,76089328,Shared room,,Pankow,1,0.0,1,1.0,44.0,,52.564832,13.469921,2017-03-27 03:34:56.849346
1057381,2726032,Shared room,,Neukölln,0,0.0,2,1.0,56.0,,52.483819,13.432741,2017-03-27 03:34:56.845865
6508509,34026126,Shared room,,Mitte,12,4.5,2,1.0,56.0,,52.516661,13.337907,2017-03-27 03:34:56.841661
16474145,64941772,Shared room,,Mitte,2,0.0,2,1.0,44.0,,52.51955,13.406054,2017-03-27 03:34:55.250761
3428732,17281262,Shared room,,Lichtenberg,2,0.0,1,1.0,56.0,,52.486913,13.526084,2017-03-27 03:34:55.247938
15545309,27564612,Shared room,,Reinickendorf,0,0.0,1,1.0,56.0,,52.565396,13.338544,2017-03-27 03:34:55.245971
16064702,91437393,Shared room,,Charlottenburg-Wilmersdorf,1,0.0,2,1.0,56.0,,52.513459,13.277381,2017-03-27 03:34:55.243604
9529947,23823743,Shared room,,Mitte,17,4.5,2,1.0,44.0,,52.550478,13.347277,2017-03-27 03:34:55.241004
11943223,19997764,Shared room,,Neukölln,7,5.0,2,1.0,42.0,,52.480889,13.423173,2017-03-27 03:34:55.238611
12692805,2695048,Shared room,,Friedrichshain-Kreuzberg,18,5.0,3,1.0,50.0,,52.517314,13.46849,2017-03-27 03:34:55.233643
12188165,49979605,Shared room,,Lichtenberg,2,0.0,1,1.0,55.0,,52.539349,13.500719,2017-03-27 03:34:55.230828
17841157,122036524,Shared room,,Mitte,0,0.0,4,1.0,44.0,,52.540917,13.357087,2017-03-27 03:34:55.228210
7946504,41905553,Shared room,,Pankow,0,0.0,2,1.0,44.0,,52.564538,13.405683,2017-03-27 03:34:55.223150
10450486,4049705,Shared room,,Charlottenburg-Wilmersdorf,18,5.0,2,1.0,44.0,,52.512189,13.264407,2017-03-27 03:34:55.219935
17198052,3944990,Shared room,,Charlottenburg-Wilmersdorf,4,5.0,2,1.0,50.0,,52.503268,13.334889,2017-03-27 03:34:55.217177
9984839,51303476,Shared room,,Friedrichshain-Kreuzberg,0,0.0,2,1.0,44.0,,52.494624,13.403329,2017-03-27 03:34:55.214278
16343285,107008299,Shared room,,Mitte,0,0.0,3,1.0,44.0,,52.549634,13.355163,2017-03-27 03:34:55.211691
11974296,44989714,Shared room,,Neukölln,4,3.0,2,1.0,43.0,,52.479268,13.445772,2017-03-27 03:34:55.208168
13792040,21559754,Shared room,,Friedrichshain-Kreuzberg,1,0.0,2,1.0,44.0,,52.492033,13.40941,2017-03-27 03:34:55.205674
14753861,14131527,Shared room,,Mitte,9,5.0,3,1.0,44.0,,52.509845,13.389832,2017-03-27 03:34:55.203196
16185959,18813126,Shared room,,Friedrichshain-Kreuzberg,3,4.5,4,1.0,50.0,,52.497288,13.430788,2017-03-27 03:34:55.199374
6049684,6209216,Shared room,,Treptow-Köpenick,2,0.0,1,1.0,39.0,,52.440667,13.596236,2017-03-27 03:34:53.139005
15762459,101615990,Shared room,,Charlottenburg-Wilmersdorf,0,0.0,1,1.0,23.0,,52.515256,13.291726,2017-03-27 03:34:53.136302
11775625,62690784,Shared room,,Pankow,0,0.0,2,1.0,16.0,,52.577839,13.421547,2017-03-27 03:34:53.134276
2062279,4059665,Shared room,,Pankow,18,4.5,9,1.0,25.0,,52.607618,13.47071,2017-03-27 03:34:53.131600
8170456,43120015,Shared room,,Reinickendorf,5,5.0,2,1.0,39.0,,52.567839,13.371014,2017-03-27 03:34:53.125748
