room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6907746,9330620,Entire home/apt,,Mitte,0,,,,168.0,2.0,52.511277,13.416976,2015-07-06 01:13:21.838
1944,2164,Private room,,Mitte,13,4.0,,,42.0,1.0,52.544251,13.397491,2015-07-06 14:13:45.264
1971,2177,Entire home/apt,,Mitte,18,5.0,3.0,1.0,187.0,4.0,52.517352,13.406643,2015-07-06 17:41:23.083
2776,3091,Private room,,Mitte,30,4.5,,,71.0,3.0,52.552818,13.37406,2015-07-06 22:34:15.553
3176,3718,Entire home/apt,,Pankow,102,4.5,,,94.0,2.0,52.53424,13.418094,2015-07-06 01:54:01.611
3309,4108,Private room,,Tempelhof-Schöneberg,5,4.0,,,46.0,3.0,52.498855,13.349065,2015-07-07 01:15:34.078
6083,11892,Entire home/apt,,Friedrichshain-Kreuzberg,54,5.0,,,92.0,3.0,52.503725,13.453809,2015-07-06 19:39:00.780
30445,131493,Entire home/apt,,Tempelhof-Schöneberg,23,5.0,,,128.0,3.0,52.494706,13.347717,2015-07-07 01:19:09.136
7071,17391,Private room,,Pankow,73,5.0,,,58.0,2.0,52.542673,13.415188,2015-07-06 15:07:27.825
7315,2343,Entire home/apt,,Pankow,2,5.0,,,115.0,3.0,52.540786,13.410855,2015-07-06 13:37:41.854
9991,33852,Entire home/apt,,Pankow,0,,,,187.0,14.0,52.533031,13.416047,2015-07-05 08:55:30.355
10533,36708,Entire home/apt,,Pankow,138,4.5,,,72.0,3.0,52.545326,13.426076,2015-07-05 12:37:54.102
13105,50209,Entire home/apt,,Friedrichshain-Kreuzberg,160,4.5,,,72.0,5.0,52.504167,13.408776,2015-07-05 14:10:28.858
13870,54283,Entire home/apt,,Pankow,57,5.0,5.0,2.0,216.0,2.0,52.537732,13.410171,2015-07-05 13:46:57.520
14325,55531,Entire home/apt,,Pankow,20,4.5,,,1180.0,180.0,52.547846,13.405562,2015-07-07 02:14:52.655
16401,59666,Private room,,Friedrichshain-Kreuzberg,0,,,,4835.0,30.0,52.510514,13.45785,2015-07-05 10:09:46.400
16644,64696,Entire home/apt,,Friedrichshain-Kreuzberg,36,5.0,,,130.0,3.0,52.504792,13.435102,2015-07-05 08:33:57.793
17409,67590,Private room,,Mitte,99,4.5,2.0,1.0,59.0,2.0,52.52782,13.41299,2015-07-05 08:11:58.693
17847,2343,Entire home/apt,,Pankow,10,4.0,5.0,2.0,115.0,3.0,52.540579,13.411601,2015-07-06 18:10:14.072
17904,68997,Entire home/apt,,Friedrichshain-Kreuzberg,118,5.0,,,68.0,5.0,52.495778,13.421945,2015-07-07 01:38:12.597
18467,71127,Entire home/apt,,Tempelhof-Schöneberg,12,4.5,2.0,1.0,1216.0,60.0,52.491266,13.343068,2015-07-05 12:24:46.283
18577,71441,Entire home/apt,,Friedrichshain-Kreuzberg,15,4.5,,,71.0,,52.51002,13.46214,2015-07-06 13:23:33.173
20858,71331,Entire home/apt,,Pankow,9,4.0,4.0,2.0,243.0,4.0,52.536952,13.407615,2015-07-06 09:31:16.678
21689,71127,Entire home/apt,,Tempelhof-Schöneberg,25,4.5,,,1043.0,60.0,52.497873,13.348793,2015-07-06 18:25:58.836
21869,64696,Entire home/apt,,Friedrichshain-Kreuzberg,54,5.0,,,101.0,3.0,52.502733,13.43462,2015-07-06 07:56:06.902
23834,94918,Entire home/apt,,Friedrichshain-Kreuzberg,71,4.5,,,83.0,2.0,52.489714,13.379748,2015-07-05 11:20:12.152
21981,84157,Entire home/apt,,Friedrichshain-Kreuzberg,96,4.5,4.0,1.0,86.0,1.0,52.493607,13.429273,2015-07-06 23:16:46.519
22438,86159,Entire home/apt,,Mitte,153,4.5,,,94.0,1.0,52.534445,13.388374,2015-07-06 16:01:55.544
22451,86215,Entire home/apt,,Charlottenburg-Wilmersdorf,3,4.5,,,1655.0,50.0,52.491907,13.32078,2015-07-06 17:43:31.917
22475,86215,Entire home/apt,,Neukölln,8,4.5,,,65.0,21.0,52.485474,13.438719,2015-07-06 20:47:09.523
22677,87357,Entire home/apt,,Mitte,71,4.5,,2.0,130.0,,52.534348,13.405577,2015-07-06 13:53:26.120
