room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
18101350,1139,106514873,Private room,,Berlin,,Pankow,0,,1,1.0,,21.0,,Quiet and bright room in Prenzlauer Allee,2017-04-23 11:13:03.939240,52.54349,13.430727,0101000020E61000002502D53F88DC2A40FDD98F1491454A40
18289250,1139,48089234,Private room,,Berlin,,Friedrichshain-Kreuzberg,0,,1,1.0,,22.0,,möbliertes WG Zimmer in bester Friedrichshainlage,2017-04-23 11:13:03.941578,52.509905,13.466675,0101000020E6100000BBB88D06F0EE2A409088299144414A40
16978059,1139,5890243,Private room,,Berlin,,Pankow,0,,1,0.0,,33.0,,schönes Altbauzimmer im Herzen vom Prenzlauer Berg,2017-04-23 11:14:39.717084,52.544507,13.415955,0101000020E61000002237C30DF8D42A40B7B8C667B2454A40
8065069,1139,16246931,Private room,,Berlin,,Pankow,2,,1,1.0,,33.0,,Zimmer zu vermiten! 10min. zum Alex,2017-04-23 11:14:39.719556,52.539269,13.426081,0101000020E6100000DAE4F04927DA2A40915F3FC406454A40
8075161,1139,42657201,Private room,,Berlin,,Pankow,1,,2,1.0,,39.0,,Wunderschönes Altbauzimmer,2017-04-23 11:14:39.722721,52.542699,13.420814,0101000020E6100000DC65BFEE74D72A4034492C2977454A40
9086379,1139,33754861,Private room,,Berlin,,Pankow,0,,2,1.0,,28.0,,Christmas in Berlin near citycenter,2017-04-23 11:14:41.266567,52.545521,13.446318,0101000020E6100000753BFBCA83E42A40FF23D3A1D3454A40
8680431,1139,45585945,Private room,,Berlin,,Pankow,2,,2,1.0,,28.0,,12qm room in prenzlauerberg,2017-04-23 11:14:41.283996,52.548682,13.431375,0101000020E6100000BE9F1A2FDDDC2A40B2F336363B464A40
7486633,1139,18176259,Private room,,Berlin,,Pankow,2,,2,1.0,,40.0,,Confortable Apartment with loggia!,2017-04-23 11:14:41.291027,52.552267,13.441572,0101000020E61000009CA8A5B915E22A407CD45FAFB0464A40
14084436,1139,17753734,Private room,,Berlin,,Pankow,2,,2,1.0,,28.0,,Cosy Room in Prenzlauer Berg,2017-04-23 11:14:41.300194,52.54643,13.426212,0101000020E61000005453927538DA2A40D2C6116BF1454A40
14472069,1139,59618313,Private room,,Berlin,,Pankow,1,,3,1.0,,39.0,,Nicest room with the nicest mates!,2017-04-23 11:14:42.996031,52.56243,13.415957,0101000020E6100000A515DF50F8D42A400725CCB4FD474A40
7049891,1139,8868576,Private room,,Berlin,,Pankow,1,,2,1.0,,31.0,,Ruhiges Zimmer in Prenzlberg,2017-04-23 11:14:43.006212,52.552335,13.423474,0101000020E6100000A1698995D1D82A40D4B7CCE9B2464A40
13287728,1139,935871,Private room,,Berlin,,Pankow,1,,1,1.0,,28.0,,"sunny, relaxed private room in Prenzlauer Berg",2017-04-23 11:14:43.014238,52.551363,13.423975,0101000020E6100000A9A44E4013D92A40BB9C121093464A40
5596189,1139,29016957,Private room,,Berlin,,Pankow,2,,2,1.0,,39.0,,Mittenrein - Höhenflug über Berlin,2017-04-23 11:14:44.269563,52.541794,13.412122,0101000020E61000009AEC9FA701D32A40A3957B8159454A40
11821430,1139,20646361,Private room,,Berlin,,Pankow,0,,1,1.0,,39.0,,Möbliertes Zimmer,2017-04-23 11:14:44.296588,52.546396,13.424913,0101000020E61000005E4A5D328ED92A402655DB4DF0454A40
11447127,1139,50997131,Private room,,Berlin,,Pankow,0,,1,1.0,,15.0,,Private room in loft apartment,2017-04-23 11:14:44.308757,52.546438,13.411204,0101000020E610000001F8A75489D22A4055A52DAEF1454A40
