room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
12188165,1219,49979605,Shared room,,Berlin,,Lichtenberg,2,0.0,1,1.0,,55.0,,in 20 Minuten am Alex,2017-05-12 16:31:46.655373,52.539349,13.500719,0101000020E6100000BEF8A23D5E002B40AE10566309454A40
18408411,1219,20052073,Shared room,,Berlin,,Pankow,1,0.0,2,1.0,,46.0,,"Cosy, nice room in Prenzlauer Berg",2017-05-12 16:31:46.653024,52.544137,13.415273,0101000020E6100000D8D2A3A99ED42A4093C5FD47A6454A40
9984839,1219,51303476,Shared room,,Berlin,,Friedrichshain-Kreuzberg,0,0.0,2,1.0,,44.0,,Cosy and bright House,2017-05-12 16:31:46.650060,52.494624,13.403329,0101000020E6100000880E812381CE2A408AE8D7D64F3F4A40
18188424,1219,14352380,Shared room,,Berlin,,Neukölln,2,0.0,2,1.0,,43.0,,Big cozy room in Berlin Neukölln,2017-05-12 16:31:46.647812,52.466875,13.441148,0101000020E610000041649126DEE12A40F6285C8FC23B4A40
7946504,1219,41905553,Shared room,,Berlin,,Pankow,0,0.0,2,1.0,,44.0,,Schlafcouch im pankower Flora-Kiez,2017-05-12 16:31:46.645134,52.564538,13.405683,0101000020E61000001A16A3AEB5CF2A40B4ACFBC742484A40
15545309,1219,27564612,Shared room,,Berlin,,Reinickendorf,0,0.0,1,1.0,,56.0,,60qm 2Zimmer Wohnung nähe Flughafen Tegel,2017-05-12 16:31:46.642316,52.565396,13.338544,0101000020E61000009983A0A355AD2A4005A568E55E484A40
16578219,1219,108162280,Shared room,,Berlin,,Tempelhof-Schöneberg,8,5.0,2,1.0,,50.0,,Spacious apartment - Schöneberg,2017-05-12 16:31:46.639395,52.486453,13.344514,0101000020E61000003E07962364B02A4042058717443E4A40
17198052,1219,3944990,Shared room,,Berlin,,Charlottenburg-Wilmersdorf,5,5.0,2,1.0,,43.0,,Most central apartment in Berlin - Puristic,2017-05-12 16:31:46.637028,52.503268,13.334889,0101000020E61000008E942D9276AB2A40C98FF8156B404A40
16343285,1219,107008299,Shared room,,Berlin,,Mitte,0,0.0,3,1.0,,44.0,,"Berlin,Wedding, Amsterdamerstraße.",2017-05-12 16:31:46.634610,52.549634,13.355163,0101000020E61000009D7FBBECD7B52A4084622B685A464A40
18203481,1219,125652413,Shared room,,Berlin,,Friedrichshain-Kreuzberg,0,0.0,2,1.0,,50.0,,Apartment in Kreuzberg Kottbusser Tor,2017-05-12 16:31:46.632412,52.498711,13.420887,0101000020E6100000849F38807ED72A40E69315C3D53F4A40
