room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
3108596,1391772,Shared room,,Friedrichshain-Kreuzberg,8,4.5,6,1.0,68.0,,52.510629,13.445792,2017-01-02 12:44:49.903511
6663931,8250486,Shared room,,Mitte,32,4.5,8,1.0,49.0,,52.517038,13.424203,2017-01-02 12:44:45.748585
3816737,19626112,Shared room,,Mitte,89,4.0,8,1.0,39.0,,52.523517,13.357505,2017-01-02 12:44:45.146101
5236236,843520,Shared room,,Tempelhof-Schöneberg,1,0.0,4,1.0,195.0,,52.493882,13.351819,2017-01-02 12:44:42.523638
8012783,42149127,Shared room,,Mitte,8,3.0,4,1.0,75.0,,52.528294,13.314674,2017-01-02 12:44:39.741929
14172211,85797043,Shared room,,Tempelhof-Schöneberg,1,0.0,4,1.0,68.0,,52.467787,13.386244,2017-01-02 12:44:39.729544
14713119,47261053,Shared room,,Neukölln,3,4.5,2,1.0,43.0,,52.430471,13.451718,2017-01-02 12:44:37.648969
12487554,55155480,Shared room,,Tempelhof-Schöneberg,4,5.0,2,1.0,49.0,,52.473279,13.321578,2017-01-02 12:44:37.646718
9540682,8250486,Shared room,,Mitte,11,4.5,4,1.0,47.0,,52.515657,13.424808,2017-01-02 12:44:36.970508
6109481,8250486,Shared room,,Mitte,29,4.5,4,1.0,54.0,,52.515924,13.424898,2017-01-02 12:44:36.966504
16474145,64941772,Shared room,,Mitte,0,0.0,2,1.0,44.0,,52.51955,13.406054,2017-01-02 12:44:36.954743
6508509,34026126,Shared room,,Mitte,11,4.5,2,1.0,55.0,,52.516661,13.337907,2017-01-02 12:44:36.952108
1883730,7397349,Shared room,,Neukölln,6,4.5,3,1.0,47.0,,52.477747,13.448612,2017-01-02 12:44:36.942527
16216285,105951060,Shared room,,Charlottenburg-Wilmersdorf,0,0.0,8,1.0,54.0,,52.502765,13.30513,2017-01-02 12:44:36.247293
16376349,3455390,Shared room,,Friedrichshain-Kreuzberg,0,0.0,2,1.0,43.0,,52.510027,13.446914,2017-01-02 12:44:36.241459
6111076,8250486,Shared room,,Mitte,55,4.5,6,1.0,39.0,,52.516895,13.425032,2017-01-02 12:44:35.051799
8236886,22275595,Shared room,,Charlottenburg-Wilmersdorf,26,5.0,2,1.0,24.0,,52.521607,13.300766,2017-01-02 12:44:35.032757
11775625,62690784,Shared room,,Pankow,0,0.0,2,1.0,39.0,,52.577839,13.421547,2017-01-02 12:44:35.030019
14816179,90368856,Shared room,,Pankow,1,0.0,12,1.0,34.0,,52.546663,13.448149,2017-01-02 12:44:33.772892
1565047,8250486,Shared room,,Mitte,61,4.5,8,1.0,35.0,,52.517784,13.426395,2017-01-02 12:44:33.762586
6097880,8250486,Shared room,,Mitte,19,4.5,8,1.0,37.0,,52.517193,13.424151,2017-01-02 12:44:33.757539
265433,1391772,Shared room,,Friedrichshain-Kreuzberg,17,4.0,6,1.0,38.0,,52.510601,13.445242,2017-01-02 12:44:33.751165
