room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8586274,26564239,Entire home/apt,,Pankow,1,,2,1.0,82.0,7.0,52.530924,13.421111,2016-05-02 01:06:12.164235
4712022,24351241,Private room,,Friedrichshain-Kreuzberg,0,,3,1.0,59.0,1.0,52.491151,13.384959,2016-05-02 01:05:46.960311
11029563,57233161,Entire home/apt,,Pankow,0,,2,1.0,82.0,1.0,52.540601,13.423929,2016-05-02 01:05:44.164557
4448400,7154091,Shared room,,Lichtenberg,0,,1,1.0,141.0,1.0,52.529201,13.470965,2016-05-02 01:05:28.215181
6541186,34207461,Entire home/apt,,Neukölln,22,3.5,6,2.0,65.0,1.0,52.47571,13.419349,2016-05-02 01:04:15.954593
4641293,17021170,Entire home/apt,,Tempelhof-Schöneberg,3,4.5,4,1.0,79.0,2.0,52.495753,13.358715,2016-05-02 01:03:34.667419
12635245,8342119,Private room,,Friedrichshain-Kreuzberg,0,,2,1.0,59.0,1.0,52.510115,13.459276,2016-05-02 01:03:04.707311
7931735,8450803,Entire home/apt,,Steglitz-Zehlendorf,0,,2,1.0,59.0,5.0,52.418644,13.159064,2016-05-02 01:02:56.027706
1860236,9704363,Private room,,Mitte,1,,1,1.0,81.0,1.0,52.527407,13.405812,2016-05-02 01:02:04.635342
8046536,8383686,Entire home/apt,,Friedrichshain-Kreuzberg,4,5.0,2,1.0,63.0,3.0,52.512686,13.461763,2016-05-02 01:01:57.966773
4235151,8064855,Entire home/apt,,Pankow,3,4.5,2,2.0,46.0,3.0,52.550635,13.458634,2016-05-02 01:01:53.942545
5764139,11138798,Entire home/apt,,Neukölln,1,,2,1.0,74.0,14.0,52.490569,13.427371,2016-05-02 01:01:51.766372
2874677,14651677,Shared room,,Pankow,0,,1,1.0,139.0,1.0,52.554031,13.430375,2016-05-02 01:01:42.050126
10006647,40791092,Private room,,Mitte,8,4.5,2,1.0,41.0,1.0,52.521342,13.418657,2016-05-02 01:01:34.040005
8138119,42973302,Entire home/apt,,Neukölln,7,4.5,2,1.0,47.0,2.0,52.483545,13.440657,2016-05-02 01:01:31.680940
11445059,60163521,Entire home/apt,,Neukölln,0,,3,1.0,75.0,1.0,52.482563,13.429461,2016-05-02 01:01:24.437093
11970605,63951654,Entire home/apt,,Friedrichshain-Kreuzberg,1,,2,0.0,70.0,3.0,52.524085,13.446343,2016-05-02 01:01:12.072195
5557941,28813910,Private room,,Lichtenberg,2,,1,1.0,18.0,1.0,52.509951,13.500353,2016-05-02 01:01:09.196822
11387580,43486948,Private room,,Mitte,0,,1,1.0,24.0,1.0,52.520991,13.355147,2016-05-02 01:00:28.317859
11541829,60892662,Private room,,Charlottenburg-Wilmersdorf,0,,2,1.0,35.0,5.0,52.490656,13.321405,2016-05-02 01:00:25.955428
12298025,66293430,Private room,,Mitte,0,,2,1.0,31.0,1.0,52.512544,13.415822,2016-05-02 00:59:55.893336
10783963,3188851,Entire home/apt,,Mitte,0,,2,1.0,94.0,1.0,52.525571,13.400828,2016-05-02 00:59:53.391171
10698054,32374841,Entire home/apt,,Friedrichshain-Kreuzberg,3,4.5,2,2.0,93.0,3.0,52.493291,13.413274,2016-05-02 00:59:51.036282
6446859,33659138,Entire home/apt,,Friedrichshain-Kreuzberg,25,5.0,4,2.0,94.0,3.0,52.518956,13.462961,2016-05-02 00:59:43.033282
11382882,15684749,Shared room,,Steglitz-Zehlendorf,0,,2,1.0,30.0,23.0,52.430396,13.214135,2016-05-02 00:59:29.314310
5997998,25793769,Entire home/apt,,Charlottenburg-Wilmersdorf,1,,2,1.0,59.0,3.0,52.505693,13.312339,2016-05-02 00:59:08.510857
10106736,51448151,Entire home/apt,,Neukölln,1,,4,2.0,177.0,1.0,52.484434,13.435503,2016-05-02 00:58:50.617948
1106367,6074357,Private room,,Pankow,10,5.0,1,1.0,36.0,2.0,52.534466,13.417255,2016-05-02 00:58:09.989583
3694567,18814106,Entire home/apt,,Neukölln,16,5.0,2,0.0,53.0,3.0,52.481543,13.42564,2016-05-02 00:58:01.601776
3873830,20011835,Entire home/apt,,Neukölln,1,,2,1.0,54.0,2.0,52.469729,13.426494,2016-05-02 00:57:51.951490
265416,1391772,Shared room,,Friedrichshain-Kreuzberg,42,4.0,6,1.0,28.0,1.0,52.509992,13.446542,2016-05-02 00:57:21.461892
4361687,22640091,Private room,,Neukölln,9,5.0,2,1.0,52.0,1.0,52.491143,13.424109,2016-05-02 00:56:21.810599
6281653,3930361,Private room,,Neukölln,0,,1,1.0,24.0,7.0,52.466694,13.436984,2016-05-02 00:56:07.373928
7565623,39328517,Entire home/apt,,Tempelhof-Schöneberg,1,,2,1.0,41.0,1.0,52.491267,13.3532,2016-05-02 00:56:04.395202
12660527,68787190,Entire home/apt,,Neukölln,0,,2,1.0,74.0,7.0,52.487907,13.414561,2016-05-02 00:54:51.228882
