room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12541540,36490143,Entire home/apt,,Friedrichshain-Kreuzberg,9,5.0,4,1.0,69.0,3.0,52.494227,13.397961,2016-10-10 01:22:27.735487
13453422,5094819,Private room,,Mitte,11,4.5,2,1.0,30.0,2.0,52.552896,13.379761,2016-10-10 01:22:25.001534
9522543,43203827,Shared room,,Tempelhof-Schöneberg,9,4.5,1,1.0,18.0,1.0,52.448378,13.363229,2016-10-10 01:22:11.172557
956637,5199988,Private room,,Mitte,2,,1,1.0,57.0,1.0,52.512874,13.399033,2016-10-10 01:22:10.067167
15369496,8813738,Private room,,Mitte,0,,2,1.0,46.0,2.0,52.529825,13.339343,2016-10-10 01:22:01.471949
8027365,7129703,Private room,,Lichtenberg,17,5.0,2,1.0,46.0,2.0,52.525764,13.475933,2016-10-10 01:22:00.331536
8202502,43257754,Private room,,Tempelhof-Schöneberg,2,,2,1.0,29.0,1.0,52.486033,13.356094,2016-10-10 01:21:54.309320
8062827,3972047,Private room,,Mitte,2,,2,1.0,27.0,2.0,52.542209,13.353114,2016-10-10 01:21:50.772705
4798632,24725773,Private room,,Tempelhof-Schöneberg,18,4.5,1,1.0,40.0,2.0,52.485692,13.36276,2016-10-10 01:21:50.240475
13920808,38783931,Private room,,Mitte,0,,2,1.0,54.0,4.0,52.551019,13.379502,2016-10-10 01:21:46.983797
15416189,98778193,Private room,,Pankow,0,,2,1.0,23.0,3.0,52.550194,13.447021,2016-10-10 01:21:46.620325
886163,4697908,Entire home/apt,,Mitte,23,4.5,5,2.0,139.0,3.0,52.538634,13.398887,2016-10-10 01:21:43.841410
8564195,42380726,Private room,,Neukölln,4,5.0,2,1.0,23.0,5.0,52.474297,13.452062,2016-10-10 01:21:43.457580
14568693,60175981,Private room,,Mitte,0,,2,1.0,45.0,6.0,52.551558,13.379519,2016-10-10 01:21:40.116836
